student_id,degree,institution_tier,gpa,target_career_id,career_skill_match_pct,total_skills_count,avg_skill_proficiency,core_cs_score,projects_count,avg_project_complexity,certifications_count,assessments_passed_pct,weekly_study_hours,learning_velocity_index,readiness_score,is_job_ready
STU_00043,B.Tech Electronics,2,7.69,CR009,91.19,19,3.9,70.8,6,4.3,3,81.0,17.0,1.79,88.23,1
STU_00044,B.Tech Information Technology,2,9.17,CR001,69.39,13,2.78,49.8,4,2.7,1,53.1,14.9,1.17,65.1,0
STU_00045,BCA / MCA,2,8.77,CR001,78.58,12,3.09,58.0,4,2.5,3,58.2,13.2,1.04,72.7,0
STU_00046,B.Tech Information Technology,1,7.58,CR009,48.41,7,1.72,27.1,0,1.8,0,41.9,4.5,0.62,35.71,0
STU_00047,M.S. Computer Science,1,8.51,CR004,74.84,10,3.08,61.0,4,3.1,1,58.6,11.7,1.4,68.82,0
STU_00048,M.S. Computer Science,2,5.34,CR010,39.45,8,1.4,32.1,2,1.2,1,31.7,9.8,0.7,39.67,0
STU_00049,B.S. Data Science,2,8.74,CR006,28.81,7,1.29,21.1,1,1.3,0,21.1,8.4,0.87,24.99,0
STU_00050,BCA / MCA,2,7.95,CR008,81.29,16,3.31,76.8,2,3.1,1,62.9,12.9,1.27,68.83,0
STU_00051,B.Tech Electronics,2,8.02,CR010,93.17,20,3.89,79.8,5,5.0,4,94.9,27.5,1.73,96.0,1
STU_00052,M.S. Computer Science,2,8.43,CR006,84.62,17,4.54,86.6,4,4.4,4,81.5,23.0,1.36,86.01,1
STU_00053,B.S. Data Science,1,5.05,CR009,85.37,14,3.04,70.4,3,4.1,4,80.7,18.4,1.59,86.22,1
STU_00054,BCA / MCA,1,8.65,CR003,61.39,11,2.39,43.5,2,3.0,3,53.0,9.8,1.27,61.5,0
STU_00055,M.S. Computer Science,1,6.43,CR005,77.1,10,3.19,70.0,4,2.9,2,70.6,12.2,1.27,67.16,0
STU_00056,B.Tech Information Technology,2,8.15,CR005,53.43,13,2.05,48.9,3,3.4,1,60.1,12.3,1.29,55.89,0
STU_00057,B.Tech Computer Science,2,5.61,CR005,35.19,12,1.16,25.3,1,2.0,0,49.8,8.0,0.82,28.7,0
STU_00058,BCA / MCA,3,7.88,CR003,90.2,19,4.34,81.7,6,4.2,2,84.4,15.0,1.68,86.98,1
STU_00059,B.Tech Computer Science,1,8.15,CR003,75.26,10,3.02,48.5,3,2.9,3,52.0,12.0,1.07,66.36,0
STU_00060,M.S. Computer Science,1,8.11,CR003,28.93,10,1.0,24.1,1,1.9,0,39.5,4.9,0.62,24.08,0
STU_00061,B.S. Data Science,2,5.82,CR004,88.99,16,3.69,84.3,5,4.4,5,86.5,14.1,1.51,89.53,1
STU_00062,M.S. Computer Science,3,9.06,CR004,89.52,15,4.03,72.6,4,4.0,5,87.6,14.4,1.75,83.29,1
STU_00063,B.Tech Computer Science,1,8.39,CR006,82.98,19,3.68,66.9,6,3.9,3,84.9,22.4,1.43,84.61,1
STU_00064,B.S. Data Science,1,8.41,CR002,64.84,15,2.6,55.3,2,3.0,2,60.8,12.4,1.25,60.29,0
STU_00065,B.Tech Information Technology,1,6.37,CR008,84.17,18,3.45,72.1,2,3.7,1,51.1,9.6,1.05,66.62,0
STU_00066,B.Tech Computer Science,2,8.33,CR007,68.04,15,2.58,52.9,2,2.5,2,56.2,15.3,1.4,62.44,0
STU_00067,B.S. Data Science,2,7.39,CR007,93.85,23,4.17,90.1,5,4.1,2,81.7,21.9,1.74,88.55,1
STU_00068,B.Tech Computer Science,3,9.24,CR005,24.6,12,1.34,24.8,1,1.1,0,30.0,8.7,0.88,23.74,0
STU_00069,B.Tech Computer Science,2,6.74,CR006,88.17,16,4.15,84.1,5,4.1,5,83.6,20.5,1.39,88.32,1
STU_00070,M.S. Computer Science,3,5.0,CR002,78.83,14,3.07,57.8,4,3.5,1,54.0,14.1,1.05,61.66,0
STU_00071,B.S. Data Science,1,8.77,CR007,34.17,7,1.54,26.1,2,2.3,0,20.7,8.0,0.99,33.7,0
STU_00072,B.S. Data Science,2,10.0,CR006,49.48,11,2.61,43.5,4,3.6,1,68.1,8.7,1.28,50.93,0
STU_00073,BCA / MCA,3,7.27,CR009,76.74,13,2.74,63.2,3,3.2,2,55.1,16.8,1.35,69.74,0
STU_00074,B.Tech Electronics,2,9.31,CR009,44.24,6,1.85,34.3,1,2.2,1,31.9,9.5,0.81,40.97,0
STU_00075,BCA / MCA,3,9.11,CR003,74.58,14,2.93,51.1,3,3.7,2,52.0,15.3,1.07,67.63,0
STU_00076,M.S. Computer Science,3,9.18,CR005,70.5,10,2.97,68.6,3,3.0,3,71.0,12.7,1.39,66.67,0
STU_00077,M.S. Computer Science,2,7.05,CR008,55.85,15,2.29,44.5,4,2.9,1,66.3,17.4,1.35,56.47,0
STU_00078,M.S. Computer Science,2,6.76,CR003,83.36,13,3.22,73.5,5,4.4,4,88.8,17.1,1.73,90.41,1
STU_00079,B.Tech Computer Science,3,7.69,CR004,95.59,16,4.36,91.1,4,3.8,3,83.7,24.9,1.73,87.21,1
STU_00080,B.Tech Information Technology,1,8.66,CR004,96.9,21,4.32,90.7,5,4.5,6,91.8,24.8,1.99,93.76,1
STU_00081,B.Tech Electronics,3,8.15,CR010,33.24,3,1.78,31.4,2,1.4,1,48.0,6.4,0.63,35.95,0
STU_00082,B.Tech Electronics,2,9.48,CR003,82.36,14,3.96,73.1,3,4.5,2,89.3,23.0,1.3,79.25,1
STU_00083,B.Tech Electronics,2,8.58,CR009,73.79,12,2.75,53.2,4,3.6,1,68.1,9.2,1.36,64.89,0
STU_00084,B.Tech Computer Science,2,9.38,CR008,91.3,21,4.38,89.3,5,4.5,5,87.9,24.1,1.52,91.11,1
STU_00085,M.S. Computer Science,3,7.57,CR009,61.84,14,2.87,46.1,4,2.9,2,66.9,14.1,1.15,57.13,0
STU_00086,B.Tech Information Technology,3,8.38,CR008,50.45,18,2.2,35.0,2,3.2,3,63.5,15.6,1.33,53.07,0
STU_00087,B.S. Data Science,3,9.01,CR009,73.43,17,2.66,54.7,2,2.8,2,59.9,8.4,1.19,63.76,0
STU_00088,B.Tech Electronics,1,7.0,CR005,39.46,2,1.6,30.3,1,1.8,1,34.8,7.5,0.95,35.1,0
STU_00089,M.S. Computer Science,1,7.37,CR003,46.96,7,1.82,28.3,2,2.1,0,40.8,4.8,0.72,33.71,0
STU_00090,BCA / MCA,2,7.59,CR007,50.56,14,2.09,47.0,4,3.6,2,73.7,8.7,1.38,57.33,0
STU_00091,B.Tech Electronics,1,9.3,CR007,56.08,13,2.16,43.8,4,3.7,3,62.6,12.5,1.23,60.44,0
STU_00092,B.Tech Computer Science,3,8.85,CR010,48.59,11,2.35,45.0,2,3.6,2,50.1,10.5,1.3,51.08,0
STU_00093,B.S. Data Science,3,7.16,CR007,64.21,13,2.51,48.8,4,3.0,3,65.8,15.0,1.0,67.46,0
STU_00094,M.S. Computer Science,3,7.45,CR008,51.44,12,1.95,43.4,1,1.3,1,39.7,6.8,0.95,40.71,0
STU_00095,B.Tech Computer Science,2,7.62,CR007,80.26,21,3.45,71.0,6,4.2,3,79.0,23.2,1.31,85.12,1
STU_00096,M.S. Computer Science,2,6.98,CR007,67.84,12,2.75,54.8,4,3.0,1,59.3,8.0,1.12,63.91,0
STU_00097,B.Tech Computer Science,2,8.41,CR003,87.7,21,3.8,89.3,4,3.9,2,87.2,21.0,1.49,79.69,1
STU_00098,B.S. Data Science,2,7.18,CR004,61.3,8,2.21,50.3,3,3.1,2,55.2,8.5,1.34,61.47,0
STU_00099,B.S. Data Science,3,8.19,CR007,62.05,9,2.85,56.7,2,2.5,2,50.2,11.6,1.37,57.21,0
STU_00100,B.Tech Computer Science,3,8.45,CR001,99.32,20,4.79,82.5,7,4.9,4,90.5,25.9,1.82,96.09,1
STU_00101,BCA / MCA,1,6.42,CR001,95.58,10,3.55,68.9,4,4.5,3,78.1,14.8,1.33,82.82,1
STU_00102,B.Tech Computer Science,2,6.98,CR004,27.7,4,1.11,22.1,2,2.1,0,49.0,5.3,0.87,32.85,0
STU_00103,M.S. Computer Science,3,8.52,CR008,88.34,16,3.77,66.8,5,4.4,3,86.4,15.1,1.56,81.34,1
STU_00104,M.S. Computer Science,2,8.96,CR002,92.15,16,4.05,80.2,4,4.6,4,82.4,18.2,1.38,90.26,1
STU_00105,B.Tech Computer Science,2,7.22,CR005,66.3,11,3.11,49.7,3,3.0,2,53.3,16.7,1.06,64.24,0
STU_00106,BCA / MCA,1,6.84,CR010,82.16,16,3.82,70.5,4,3.9,2,86.8,17.1,1.52,76.0,1
STU_00107,BCA / MCA,3,8.18,CR010,72.64,16,3.65,62.8,3,4.2,4,77.7,24.7,1.36,75.9,1
STU_00108,M.S. Computer Science,2,8.24,CR006,30.57,9,1.16,23.8,2,1.1,1,48.5,5.8,0.64,27.83,0
STU_00109,B.Tech Computer Science,3,8.95,CR008,38.42,13,1.39,29.9,1,1.0,1,37.5,5.5,0.78,32.75,0
STU_00110,BCA / MCA,1,9.53,CR003,86.01,13,3.79,76.8,5,4.4,5,76.4,16.2,1.74,84.46,1
STU_00111,B.Tech Electronics,2,7.84,CR010,59.69,15,2.68,50.5,2,3.7,1,64.6,13.4,1.11,51.85,0
STU_00112,B.S. Data Science,3,7.04,CR004,89.58,14,3.94,79.6,6,4.5,4,76.6,22.4,1.5,91.28,1
STU_00113,B.Tech Computer Science,2,7.52,CR006,50.38,8,2.25,37.7,0,1.5,1,30.6,7.0,0.98,40.58,0
STU_00114,B.S. Data Science,2,7.92,CR010,82.27,23,3.23,61.5,5,3.9,2,75.3,15.8,1.75,82.12,1
STU_00115,M.S. Computer Science,3,8.23,CR002,45.25,2,1.89,36.6,1,1.3,1,35.0,6.5,0.95,35.81,0
STU_00116,M.S. Computer Science,3,10.0,CR008,78.59,18,2.93,60.3,3,2.8,2,50.2,15.2,1.21,67.69,0
STU_00117,B.Tech Computer Science,1,8.73,CR004,80.89,20,3.64,69.3,2,2.6,2,66.2,8.7,1.15,69.93,0
STU_00118,BCA / MCA,2,8.49,CR008,76.11,15,3.18,55.3,3,2.7,2,66.8,14.2,1.3,64.95,0
STU_00119,BCA / MCA,2,7.08,CR006,83.94,13,3.9,69.6,5,4.0,4,78.2,18.7,1.75,83.01,1
STU_00120,B.S. Data Science,2,6.69,CR004,70.33,15,3.01,50.6,4,2.8,3,66.5,16.1,1.31,69.76,0
STU_00121,BCA / MCA,1,8.47,CR004,93.93,15,4.06,87.0,5,4.6,4,78.6,14.4,1.51,91.62,1
STU_00122,B.Tech Computer Science,3,7.57,CR005,46.91,12,1.9,29.0,0,1.3,1,49.9,9.9,0.86,36.82,0
STU_00123,B.Tech Computer Science,3,9.15,CR003,61.88,12,2.6,49.6,2,3.4,3,61.4,14.7,1.33,61.82,0
STU_00124,B.S. Data Science,2,8.68,CR003,56.97,12,2.55,53.4,3,3.6,1,72.2,10.0,1.29,55.4,0
STU_00125,B.Tech Computer Science,2,6.48,CR008,62.66,9,2.48,42.4,3,2.7,1,56.4,11.6,1.27,57.32,0
STU_00126,B.Tech Computer Science,2,6.87,CR008,47.07,9,1.27,30.8,0,1.5,1,44.7,4.3,0.77,40.91,0
STU_00127,B.Tech Electronics,1,9.17,CR001,36.66,6,1.52,26.5,2,2.3,1,32.2,6.0,0.78,35.65,0
STU_00128,B.Tech Computer Science,3,7.59,CR002,79.73,18,3.61,64.1,3,3.2,3,53.6,11.7,1.32,72.01,0
STU_00129,M.S. Computer Science,3,5.5,CR004,85.9,17,3.49,74.1,6,4.2,5,88.8,14.4,1.45,85.58,1
STU_00130,B.Tech Electronics,2,7.8,CR010,91.25,18,4.3,80.9,7,4.7,3,92.4,29.7,1.7,92.33,1
STU_00131,M.S. Computer Science,3,8.55,CR002,98.44,24,4.75,94.0,6,4.6,4,88.7,18.3,2.1,99.5,1
STU_00132,B.S. Data Science,2,8.94,CR003,40.57,7,2.1,39.6,2,2.5,0,29.4,6.0,0.63,35.65,0
STU_00133,B.Tech Information Technology,1,9.05,CR008,82.73,16,3.79,77.2,6,4.0,4,77.8,17.8,1.51,89.19,1
STU_00134,B.Tech Computer Science,2,9.9,CR005,90.0,20,3.96,85.8,6,4.1,2,79.9,14.1,1.71,85.82,1
STU_00135,BCA / MCA,2,5.7,CR005,74.79,13,3.32,68.6,4,3.8,5,85.4,19.0,1.41,76.69,1
STU_00136,B.Tech Computer Science,2,9.16,CR003,92.85,19,4.5,88.3,6,4.6,3,96.1,29.5,1.83,91.17,1
STU_00137,B.Tech Computer Science,1,8.05,CR005,58.53,12,2.39,51.1,4,3.2,2,60.1,16.3,1.33,61.05,0
STU_00138,B.Tech Electronics,1,8.92,CR005,84.55,16,3.85,72.9,5,4.2,5,86.0,24.5,1.41,81.46,1
STU_00139,B.Tech Electronics,1,6.57,CR001,96.77,17,4.02,73.2,5,4.0,4,87.7,19.3,1.56,94.86,1
STU_00140,B.Tech Computer Science,1,7.44,CR010,60.66,17,2.72,52.0,2,3.5,3,72.4,8.8,1.16,60.14,0
STU_00141,B.S. Data Science,2,7.76,CR003,68.8,14,2.77,48.5,4,3.0,2,74.3,13.4,1.11,63.31,0
STU_00142,B.S. Data Science,1,8.54,CR010,43.69,14,2.13,51.8,3,3.2,1,70.1,15.6,1.06,48.54,0
STU_00143,B.Tech Electronics,2,6.97,CR006,66.58,12,2.33,47.3,2,2.8,1,66.8,16.3,1.27,63.12,0
STU_00144,B.S. Data Science,2,5.78,CR008,73.38,19,3.18,61.2,3,3.6,3,55.0,17.3,1.28,74.09,0
STU_00145,B.Tech Computer Science,2,5.98,CR006,70.47,14,3.14,61.1,2,2.8,2,67.3,10.3,1.25,66.69,0
STU_00146,M.S. Computer Science,3,5.37,CR001,93.32,18,3.59,66.7,6,4.0,5,85.0,24.6,1.33,88.72,1
STU_00147,B.Tech Computer Science,1,9.11,CR006,64.86,13,3.03,72.1,3,2.5,3,68.2,11.2,1.27,65.84,0
STU_00148,B.Tech Electronics,3,6.87,CR004,63.35,16,2.87,55.8,2,3.3,2,59.7,10.4,1.04,59.71,0
STU_00149,B.Tech Electronics,3,9.74,CR008,53.26,11,1.49,44.7,2,1.3,0,20.8,5.7,0.78,40.14,0
STU_00150,BCA / MCA,1,6.88,CR009,42.8,14,1.87,34.0,1,2.3,0,44.3,7.5,0.89,35.53,0
STU_00151,B.Tech Information Technology,3,7.43,CR002,65.25,15,3.0,70.3,2,3.8,3,59.4,8.6,1.14,62.89,0
STU_00152,B.Tech Information Technology,2,5.82,CR005,71.2,8,2.45,51.7,3,2.7,2,59.8,9.6,1.29,62.29,0
STU_00153,B.Tech Electronics,3,9.97,CR004,61.59,11,2.18,50.2,2,3.7,2,68.9,13.9,1.33,59.52,0
STU_00154,B.Tech Information Technology,3,6.62,CR009,91.98,20,3.96,91.0,4,4.1,2,75.8,20.6,1.75,87.99,1
STU_00155,B.S. Data Science,3,8.43,CR007,59.77,13,2.92,54.1,4,2.7,2,51.5,14.0,1.31,59.5,0
STU_00156,B.Tech Computer Science,2,7.94,CR005,82.01,16,3.65,83.1,6,4.5,3,83.4,24.6,1.32,80.45,1
STU_00157,B.Tech Electronics,2,9.07,CR006,65.34,9,2.79,52.1,4,3.1,2,60.4,8.2,1.13,60.26,0
STU_00158,B.Tech Electronics,3,8.46,CR004,94.88,20,4.93,81.2,6,4.6,6,97.8,20.5,2.08,92.03,1
STU_00159,B.Tech Information Technology,3,9.45,CR007,35.81,2,1.22,23.9,2,1.7,1,36.6,7.4,0.68,33.1,0
STU_00160,BCA / MCA,3,8.89,CR007,57.5,8,2.29,40.4,4,3.3,3,73.5,9.7,1.19,58.68,0
STU_00161,B.Tech Information Technology,2,6.9,CR001,48.89,11,1.57,31.5,2,1.9,1,32.8,7.7,0.63,40.62,0
STU_00162,B.Tech Computer Science,3,9.07,CR008,47.96,12,1.54,38.0,1,1.4,0,42.7,8.6,0.73,33.34,0
STU_00163,BCA / MCA,1,7.85,CR003,33.37,7,1.6,31.9,1,2.0,1,42.4,5.4,0.76,33.28,0
STU_00164,M.S. Computer Science,2,6.55,CR002,91.77,20,3.84,77.4,6,4.3,4,82.7,15.3,1.46,90.15,1
STU_00165,BCA / MCA,3,7.63,CR008,90.71,21,3.63,83.6,3,4.5,2,80.8,15.9,1.72,83.9,1
STU_00166,B.Tech Information Technology,2,8.47,CR005,90.33,16,4.35,75.1,5,4.6,6,96.9,18.7,2.18,93.54,1
STU_00167,B.Tech Computer Science,3,7.63,CR002,69.89,14,3.14,60.6,4,3.2,2,53.5,17.8,1.1,62.41,0
STU_00168,B.Tech Computer Science,1,7.8,CR001,84.9,10,3.33,76.3,3,2.9,2,51.4,10.0,1.17,72.42,0
STU_00169,B.Tech Information Technology,2,7.78,CR007,61.86,16,2.64,54.0,2,3.8,1,68.9,10.5,1.22,55.17,0
STU_00170,B.Tech Information Technology,1,6.64,CR007,58.14,13,2.41,54.3,2,2.7,2,69.6,9.2,1.25,56.41,0
STU_00171,M.S. Computer Science,1,5.63,CR008,82.3,13,3.4,55.7,3,3.5,2,66.1,9.6,1.22,68.86,0
STU_00172,BCA / MCA,1,7.44,CR008,96.43,20,5.0,92.2,6,5.0,3,96.9,26.8,2.08,98.94,1
STU_00173,B.Tech Electronics,3,8.71,CR010,56.53,10,2.63,55.1,3,3.6,3,55.1,12.7,1.32,59.54,0
STU_00174,B.S. Data Science,2,8.53,CR005,36.16,4,1.48,32.8,1,2.3,1,36.6,7.2,0.68,35.86,0
STU_00175,B.Tech Computer Science,2,5.38,CR010,79.29,19,3.27,63.0,3,3.2,3,69.1,16.1,1.14,71.5,0
STU_00176,B.S. Data Science,1,9.93,CR007,74.77,14,3.29,64.3,4,3.0,3,65.9,9.9,1.3,67.68,0
STU_00177,BCA / MCA,3,7.99,CR010,85.71,21,3.98,81.6,5,4.3,3,86.0,22.5,1.79,86.0,1
STU_00178,M.S. Computer Science,3,7.44,CR004,70.79,17,2.64,48.8,4,2.7,2,67.7,13.4,1.25,65.9,0
STU_00179,BCA / MCA,3,7.9,CR003,74.76,16,3.03,61.5,4,3.7,3,69.1,13.9,1.08,74.29,0
STU_00180,B.Tech Computer Science,2,9.1,CR008,23.81,5,1.17,21.0,1,1.7,0,30.1,9.5,0.6,20.58,0
STU_00181,B.Tech Computer Science,3,6.72,CR006,76.32,14,3.48,67.0,4,3.8,3,87.5,15.3,1.32,77.14,1
STU_00182,B.Tech Information Technology,3,8.92,CR006,69.7,17,3.6,60.3,3,2.9,1,65.8,12.6,1.19,63.58,0
STU_00183,B.S. Data Science,3,6.99,CR008,98.14,19,4.63,94.1,7,5.0,5,93.8,19.8,1.95,99.5,1
STU_00184,B.Tech Computer Science,2,8.42,CR002,27.86,6,1.0,28.1,0,1.5,1,34.1,4.9,0.99,26.71,0
STU_00185,M.S. Computer Science,2,8.04,CR007,32.71,14,1.23,31.7,2,2.1,0,43.0,9.6,0.68,32.87,0
STU_00186,B.Tech Electronics,2,7.45,CR005,67.61,17,2.75,53.4,4,2.7,2,58.9,12.0,1.02,62.6,0
STU_00187,B.Tech Computer Science,2,8.17,CR008,37.66,13,1.23,32.6,2,2.4,1,41.5,7.5,0.92,40.58,0
STU_00188,M.S. Computer Science,2,7.69,CR002,62.16,10,2.45,48.9,3,2.8,3,53.2,11.0,1.31,60.75,0
STU_00189,B.S. Data Science,2,10.0,CR002,41.84,10,1.17,28.4,0,1.0,1,43.5,4.1,0.9,29.09,0
STU_00190,B.Tech Electronics,1,8.47,CR004,82.17,17,3.89,66.2,4,4.1,5,90.0,14.6,1.59,83.16,1
STU_00191,B.Tech Electronics,2,9.86,CR009,64.41,14,2.24,59.3,4,3.8,3,65.3,11.7,1.31,66.99,0
STU_00192,B.Tech Information Technology,3,8.32,CR002,92.39,16,4.36,82.9,6,3.9,4,83.5,23.5,1.59,90.9,1
STU_00193,B.Tech Computer Science,2,6.31,CR004,67.1,17,2.7,54.1,2,2.9,2,54.8,11.1,1.39,58.39,0
STU_00194,B.Tech Computer Science,3,6.57,CR006,61.06,16,3.02,56.8,4,3.2,2,53.1,10.9,1.1,62.83,0
STU_00195,B.Tech Computer Science,2,6.56,CR004,93.8,14,4.28,89.8,8,4.8,3,88.1,23.7,1.8,93.3,1
STU_00196,BCA / MCA,2,10.0,CR010,89.02,20,4.08,86.2,5,4.5,5,92.9,22.3,1.71,94.52,1
STU_00197,B.Tech Information Technology,3,7.14,CR010,37.6,9,1.81,34.5,2,1.1,0,39.2,4.5,0.77,33.91,0
STU_00198,M.S. Computer Science,2,9.02,CR004,59.14,9,2.36,45.2,2,2.6,3,51.2,10.6,1.05,57.6,0
STU_00199,B.Tech Computer Science,2,7.67,CR003,97.43,21,4.8,97.8,7,4.8,4,92.6,18.8,1.86,99.5,1
STU_00200,B.Tech Computer Science,2,8.09,CR001,56.87,9,1.97,47.1,1,1.7,0,33.8,4.5,0.87,43.15,0
STU_00201,M.S. Computer Science,2,9.19,CR003,67.52,16,2.72,54.1,2,3.0,3,64.9,10.7,1.01,64.77,0
STU_00202,B.Tech Electronics,2,6.29,CR002,61.75,15,2.91,47.5,3,3.7,3,50.8,13.8,1.07,63.61,0
STU_00203,M.S. Computer Science,1,5.41,CR009,49.94,10,2.45,41.8,2,1.4,0,28.8,6.1,0.83,36.52,0
STU_00204,BCA / MCA,3,8.4,CR009,60.6,12,2.26,45.2,4,2.7,1,73.1,16.2,1.14,60.89,0
STU_00205,B.Tech Computer Science,3,6.66,CR007,69.25,15,2.48,62.7,2,2.9,2,69.1,17.4,1.38,61.0,0
STU_00206,BCA / MCA,3,7.53,CR002,92.6,22,4.18,77.8,5,4.6,3,78.2,16.9,1.63,87.97,1
STU_00207,B.Tech Computer Science,1,8.66,CR010,74.98,18,3.26,72.9,4,3.1,3,67.7,15.3,1.07,69.65,0
STU_00208,B.S. Data Science,2,6.52,CR010,56.27,3,2.37,46.9,3,2.6,3,50.4,16.7,1.09,56.28,0
